127.0.0.1, 2018-05-06 12:20:27, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 5.597000
127.0.0.1, 2018-05-06 12:21:01, POST, /admin/default/edit/Tafari/controllers/basics.py, HTTP/1.1, 200, 0.212000
127.0.0.1, 2018-05-06 12:21:13, GET, /Tafari/basics/hello, HTTP/1.1, 500, 6.062000
127.0.0.1, 2018-05-06 12:21:21, GET, /admin/default/ticket/Tafari/127.0.0.1.2018-05-06.12-21-07.abc3a650-12d2-4f71-8369-39a3a82e0a53, HTTP/1.1, 200, 0.238000
127.0.0.1, 2018-05-06 12:21:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.063000
127.0.0.1, 2018-05-06 12:21:23, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 0.400000
127.0.0.1, 2018-05-06 12:22:17, POST, /admin/default/edit/Tafari/controllers/basics.py, HTTP/1.1, 200, 0.065000
127.0.0.1, 2018-05-06 12:22:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.057000
127.0.0.1, 2018-05-06 12:22:23, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 0.527000
127.0.0.1, 2018-05-06 12:22:26, GET, /admin/default/edit/Tafari/controllers/basics.py, HTTP/1.1, 200, 0.040000
127.0.0.1, 2018-05-06 12:22:43, GET, /admin/default/edit/Tafari/views/basics/hello.html, HTTP/1.1, 200, 0.103000
127.0.0.1, 2018-05-06 12:22:43, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.062000
127.0.0.1, 2018-05-06 12:23:13, POST, /admin/default/edit/Tafari/views/basics/hello.html, HTTP/1.1, 200, 0.072000
127.0.0.1, 2018-05-06 12:23:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.072000
127.0.0.1, 2018-05-06 12:23:24, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 1.356000
127.0.0.1, 2018-05-06 12:23:49, GET, /Tafari/basics/hello, HTTP/1.1, 200, 0.134000
127.0.0.1, 2018-05-06 12:24:22, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.047000
127.0.0.1, 2018-05-06 12:24:23, GET, /Tafari/appadmin/hooks, HTTP/1.1, 200, 0.544000
127.0.0.1, 2018-05-06 12:24:27, POST, /admin/default/edit/Tafari/controllers/basics.py, HTTP/1.1, 200, 0.081000
127.0.0.1, 2018-05-06 12:24:30, GET, /Tafari/basics/hello, HTTP/1.1, 200, 0.319000
127.0.0.1, 2018-05-06 12:24:31, GET, /Tafari/static/js/jquery.js, HTTP/1.1, 200, 0.126000
127.0.0.1, 2018-05-06 12:24:31, GET, /Tafari/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.144000
127.0.0.1, 2018-05-06 12:24:31, GET, /Tafari/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.126000
127.0.0.1, 2018-05-06 12:24:31, GET, /Tafari/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.023000
